,ID,Fwy,Dir,District,Latitude,Longitude
0,716939,5,S,7,34.041407,-118.218373
1,759700,5,S,7,34.020961,-118.195456
2,716925,5,N,7,33.995023,-118.144513
3,715930,5,N,7,33.971763,-118.122905
4,715938,5,N,7,34.002541,-118.150997
5,716908,5,S,7,33.911074,-118.071686
6,716912,5,S,7,33.920763,-118.082501
7,759707,5,S,7,34.025109,-118.20517
8,716930,5,S,7,34.013529,-118.166192
9,764232,5,N,7,33.939747,-118.095531
10,716918,5,S,7,33.958225,-118.11239
11,716934,5,S,7,34.019879,-118.181588
12,763980,5,S,7,33.992211,-118.142079
13,715898,5,S,7,33.880183,-118.021787
14,759542,5,N,7,33.95891,-118.113036
15,715947,5,S,7,34.015325,-118.17127
16,762685,605,S,7,34.01717,-118.05398
17,716819,605,N,7,34.009316,-118.057906
18,717864,605,N,7,33.909354,-118.104924
19,717940,605,N,7,34.028108,-118.035925
20,716800,605,N,7,33.958124,-118.087014
21,717912,605,S,7,33.994073,-118.069196
22,717865,605,S,7,33.894293,-118.104912
23,762678,605,S,7,33.985594,-118.072012
24,766851,605,N,7,33.902407,-118.105114
25,763464,605,N,7,33.903565,-118.10513
26,717859,605,S,7,33.886248,-118.104435
27,717938,605,N,7,34.026653,-118.038537
28,717907,605,S,7,33.992205,-118.069649
29,717885,605,S,7,33.958207,-118.087265
30,717884,605,S,7,33.950974,-118.091381
31,717879,605,N,7,33.942882,-118.09562
32,717882,605,N,7,33.951332,-118.090846
33,737152,605,S,7,33.917606,-118.104793
34,769513,605,N,7,33.936927,-118.098751
35,717892,605,N,7,33.966404,-118.083604
36,717896,605,S,7,33.974742,-118.079877
37,717876,605,N,7,33.926206,-118.1036
38,716829,605,N,7,34.030914,-118.031047
39,717875,605,N,7,33.926206,-118.1036
40,717933,605,S,7,34.026807,-118.038666
41,716788,605,N,7,33.903565,-118.10513
42,717833,605,S,7,33.830177,-118.08363
43,762637,605,N,7,34.028108,-118.035925
44,717929,605,N,7,34.018698,-118.051437
45,717925,605,S,7,34.01717,-118.05398
46,717881,605,N,7,33.951332,-118.090846
47,717871,605,S,7,33.902261,-118.105349
48,717867,605,S,7,33.900526,-118.105238
49,717844,605,N,7,33.84679,-118.092752
50,762679,605,N,7,33.9855,-118.071807
51,760130,105,E,7,33.928424,-118.29444
52,760166,105,E,7,33.928407,-118.277789
53,760100,105,E,7,33.924855,-118.32862
54,760289,105,E,7,33.912001,-118.157276
55,773656,105,E,7,33.933059,-118.356686
56,760112,105,E,7,33.925162,-118.323479
57,716453,105,E,7,33.911105,-118.174619
58,760226,105,E,7,33.923785,-118.207757
59,765476,105,E,7,33.928419,-118.277962
60,760167,105,E,7,33.928407,-118.277789
61,760178,105,E,7,33.927289,-118.263121
62,760442,105,W,7,33.925127,-118.330354
63,716470,105,E,7,33.913689,-118.113948
64,760139,105,E,7,33.927891,-118.273645
65,760572,105,W,7,33.924777,-118.209134
66,716459,105,W,7,33.912441,-118.155588
67,760369,105,W,7,33.91352,-118.122596
68,763716,105,W,7,33.929386,-118.220032
69,760375,105,W,7,33.913234,-118.12779
70,760110,105,E,7,33.925162,-118.323479
71,760074,105,E,7,33.933294,-118.351898
72,760490,105,W,7,33.928915,-118.285761
73,767838,105,E,7,33.931513,-118.361927
74,768914,91,E,7,33.876234,-118.104961
75,717435,91,W,7,33.876583,-118.075397
76,717439,91,E,7,33.876366,-118.070702
77,717393,91,E,7,33.876009,-118.191574
78,759990,91,W,7,33.876119,-118.065686
79,768229,91,E,7,33.87249,-118.059386
80,717434,91,E,7,33.876324,-118.080425
81,717402,91,E,7,33.875898,-118.166089
82,766555,91,W,7,33.873627,-118.060623
83,717416,91,W,7,33.877201,-118.142032
84,717383,91,E,7,33.873494,-118.219285
85,773381,91,E,7,33.873543,-118.197523
86,716272,91,E,7,33.872586,-118.289005
87,717404,91,W,7,33.876117,-118.161745
88,768228,91,W,7,33.872702,-118.059283
89,716273,91,E,7,33.872636,-118.2812
90,717424,91,W,7,33.87621,-118.126705
91,717433,91,W,7,33.87657,-118.080438
92,717376,91,E,7,33.873496,-118.251545
93,717436,91,E,7,33.876358,-118.074686
94,717367,91,E,7,33.872471,-118.27074
95,716296,91,E,7,33.876767,-118.177981
96,717390,91,E,7,33.872655,-118.203751
97,759989,91,W,7,33.876583,-118.075397
98,759992,91,E,7,33.86603,-118.049777
99,759967,91,E,7,33.875898,-118.166089
100,717410,91,W,7,33.877126,-118.153353
101,759975,91,E,7,33.876324,-118.080425
102,768898,91,E,7,33.876002,-118.126736
103,773365,91,W,7,33.862383,-118.04237
104,717426,91,E,7,33.87605,-118.122915
105,773363,91,E,7,33.862202,-118.042466
106,717440,91,W,7,33.876119,-118.065686
107,765467,91,E,7,33.876929,-118.149691
108,717045,10,W,7,34.037067,-118.286318
109,718419,10,E,7,34.037793,-118.272782
110,718410,10,E,7,34.031541,-118.430583
111,764050,10,W,7,34.022411,-118.475871
112,717032,10,E,7,34.035074,-118.33108
113,737237,10,E,7,34.02328,-118.473469
114,716057,10,E,7,34.036953,-118.313131
115,763458,10,E,7,34.023654,-118.243938
116,763963,10,E,7,34.033989,-118.353882
117,717019,10,W,7,34.03577,-118.371368
118,763346,10,E,7,34.03681,-118.315379
119,763341,10,W,7,34.029722,-118.403033
120,763453,10,E,7,34.031145,-118.260012
121,768584,10,E,7,34.029698,-118.392981
122,717011,10,E,7,34.031182,-118.390169
123,737158,10,E,7,34.026415,-118.234825
124,716063,10,W,7,34.037129,-118.296691
125,717016,10,E,7,34.036314,-118.374796
126,718335,10,E,7,34.036796,-118.289266
127,717269,60,W,7,34.032661,-118.182471
128,717290,60,E,7,34.036512,-118.090626
129,716206,60,W,7,34.029065,-118.211497
130,717274,60,W,7,34.035886,-118.151414
131,717316,60,W,7,34.035073,-118.029281
132,717265,60,E,7,34.03154,-118.190445
133,773274,60,E,7,34.036464,-118.16093
134,773294,60,W,7,34.03582,-118.095997
135,773409,60,E,7,34.028638,-118.002779
136,717273,60,E,7,34.035723,-118.151516
137,717292,60,E,7,34.039225,-118.081093
138,717288,60,W,7,34.036302,-118.092399
139,773273,60,W,7,34.03666,-118.160938
140,717303,60,E,7,34.039962,-118.05362
141,718002,710,S,7,33.966186,-118.168485
142,718493,710,S,7,33.907395,-118.182244
143,717995,710,N,7,33.950741,-118.170417
144,718018,710,S,7,34.039459,-118.170157
145,718102,710,N,7,33.905011,-118.184089
146,761761,710,S,7,33.906773,-118.182716
147,718321,710,S,7,34.019379,-118.17355
148,717983,710,N,7,33.931754,-118.178439
149,718280,405,S,7,33.90085,-118.370549
150,718223,405,S,7,33.802629,-118.12381
151,771864,405,S,7,33.821302,-118.195219
152,718245,405,S,7,33.818022,-118.190184
153,717738,405,N,7,33.852884,-118.279686
154,771866,405,S,7,33.821302,-118.195219
155,764611,405,S,7,33.85998,-118.31095
156,771969,405,N,7,33.978135,-118.390097
157,717706,405,N,7,33.805639,-118.141821
158,762552,405,N,7,33.878338,-118.345949
159,717790,405,N,7,34.010379,-118.41687
160,718221,405,S,7,33.800308,-118.112651
161,717795,405,S,7,34.038114,-118.439397
162,717756,405,N,7,33.884045,-118.351506
163,718266,405,N,7,33.86453,-118.3259
164,761523,405,S,7,33.859717,-118.298546
165,718230,405,S,7,33.803094,-118.137329
166,771899,405,S,7,33.82515,-118.222222
167,761482,405,N,7,33.951752,-118.368991
168,717722,405,N,7,33.819612,-118.191829
169,717729,405,N,7,33.825518,-118.226232
170,717735,405,N,7,33.840237,-118.264144
171,716674,405,S,7,33.867122,-118.335344
172,718249,405,S,7,33.825229,-118.225244
